,num,forpet_hash,shop_name,shop_address,address,num,review,score,match
41,824,62bc4a8f0ed2de20dc1e53d07c56469828544242f52a781dc1d3a7f0687aad9a,펫마트테크노폴리스점,"['달성군', '현풍읍', '중리', '509']",대구광역시 달성군 현풍면 테크노대로 24,7,, 별표 5개 ,u
36,828,30a216aabb7254c705f40277ffaaf041a03bf580b43b565031ff27a4dfa97342,펫38도씨,"['중구', '운남동', '22-4']",인천광역시 중구 운남동 운중로 99,1,애견카페멀티스토어, 별표 4개 ,a
38,828,30a216aabb7254c705f40277ffaaf041a03bf580b43b565031ff27a4dfa97342,펫38도씨,"['중구', '운남동', '22-4']",인천광역시 중구 운남동 운중로 99,2,친절하시고 싸고 좋습니다., 별표 5개 ,t
40,828,30a216aabb7254c705f40277ffaaf041a03bf580b43b565031ff27a4dfa97342,펫38도씨,"['중구', '운남동', '22-4']",인천광역시 중구 운남동 운중로 99,3,모두 편안한 애견호텔카페, 별표 4개 ,c
42,828,30a216aabb7254c705f40277ffaaf041a03bf580b43b565031ff27a4dfa97342,펫38도씨,"['중구', '운남동', '22-4']",인천광역시 중구 운남동 운중로 99,4,"(Google 번역) 당신은 여기 코펙 호텔에 오셔서 커피를 마시고 싶으시고 커피 숍에서 돈을 내고 싶으신 분은 마당에 있습니다.

(원본)
Kopek oteli buraya gelip hem kopekleri seviyorsunuz hem kahve iciyorsunuz yediginiz yada ictiginiz hersey icin odediniz paralarla kopeklere yemek aliniyor", 별표 5개 ,h
44,841,edb6ba0c658793f46005601cc19eb96e2427fc5b8d6a47e5f98fcc060f93c73a,미니펫,"['미추홀구', '숭의동', '207-19']",경기도 부천시 원미구 중동 1031-1,0,"쁘미(슈나)를 미니펫 부천점에서 가족으로 맞이하고 40일 후 쁘미가 몸도 튼튼! 건강했지만, 정서적으로도 건강하여 감사인사드리러 방문했다가 두번째 운명의 눈맞춤으로 계획보다는 좀 많이 이르게 2개월된 더 작은 운이(요키)를 가족으로 맞이하게 되었어요~ 현재 둘도없는 남매사이에요~♥ 한 생명을 가족으로 맞이하는 일이다보니 신중해야겠지만, 친절하시고 아이들에 대한 진심담긴 마음까지 전해받은 미니펫 부천점 적극 추천합니다~", 별표 5개 ,n
46,828,30a216aabb7254c705f40277ffaaf041a03bf580b43b565031ff27a4dfa97342,펫38도씨,"['중구', '운남동', '22-4']",인천광역시 중구 운남동 운중로 99,6,, 별표 4개 ,d
48,828,30a216aabb7254c705f40277ffaaf041a03bf580b43b565031ff27a4dfa97342,펫38도씨,"['중구', '운남동', '22-4']",인천광역시 중구 운남동 운중로 99,7,, 별표 4개 ,o
50,828,30a216aabb7254c705f40277ffaaf041a03bf580b43b565031ff27a4dfa97342,펫38도씨,"['중구', '운남동', '22-4']",인천광역시 중구 운남동 운중로 99,8,, 별표 4개 ,n
52,841,edb6ba0c658793f46005601cc19eb96e2427fc5b8d6a47e5f98fcc060f93c73a,미니펫,"['미추홀구', '숭의동', '207-19']",서울특별시 강남구 역삼동 논현로106길 8,0,"고양이를 분양하기로 결정하고 미니펫강남점을 방문하였습니다. 거기서 가족 모두가 한눈에 반해버린 울 군밤이가 새로운 가족이 되었습니다. 모든게 처음인 저희에게 친절하고 자상한 상담을 해주신 매니저님이 많은 도움이 되었습니다. 깨끗한 환경이 정말 좋아보였고, 시간이 많이 걸려도 재촉하지 않고 천천히 결정할 수 있게 해주었습니다. 울 군밤이는 집에 온지 이틀밖에 안됐지만 잘 먹고, 잘 자고, 잘 놀고, 잘 지낸답니다.", 별표 5개 ,n
45,841,edb6ba0c658793f46005601cc19eb96e2427fc5b8d6a47e5f98fcc060f93c73a,미니펫,"['미추홀구', '숭의동', '207-19']",경기도 부천시 원미구 중동 1031-1,1,"와이프 생일 기념해서 새가족을 들인날이네요..
한없이 이뻐서 첫눈에반했고..
미온수로 살짝 씻기면서 와이프가하는말이..
""어쩜.. 너는 씻어도 이쁘니.""
우리집 이쁜이 ' 구찌'  소개드립니다^^", 별표 5개 ,o
47,841,edb6ba0c658793f46005601cc19eb96e2427fc5b8d6a47e5f98fcc060f93c73a,미니펫,"['미추홀구', '숭의동', '207-19']",경기도 부천시 원미구 중동 1031-1,2,예약 없이 한 방문에도 친철히 맞아주고 저에게 맞은 고양이까지 선별해주고 맘에 드는 아이 직접 안아보고 경험하여 너무 이뿐 우리 애옹이 분양받은 부천 미니펫 감사해요, 별표 5개 ,t
49,841,edb6ba0c658793f46005601cc19eb96e2427fc5b8d6a47e5f98fcc060f93c73a,미니펫,"['미추홀구', '숭의동', '207-19']",경기도 부천시 원미구 중동 1031-1,3,"깔끔한 관리와 친절한 설명
홈피 홍보만 봐서는 기존 공장견 샵과는 차별화된 느낌을 주네요
다만 이쁜 강쥐는 다 얼굴값을 하는지
샵 특성인지

어제 부양받은 둘째는
남아이고 바캉스 시즌 임에도
첫째 분양한거에 두배가까운 분양가를 ㅠㅠ
주고 대려 왔어요", 별표 4개 ,_
51,841,edb6ba0c658793f46005601cc19eb96e2427fc5b8d6a47e5f98fcc060f93c73a,미니펫,"['미추홀구', '숭의동', '207-19']",경기도 부천시 원미구 중동 1031-1,4,그냥 지나가다 구경한번 해볼까 하고 들어간곳에 한 아이가 너무 눈에띄었습니다 집에 와서 몇일을 그 아이생각으로 일이 아무것도 잡히지않더라구요 과연 잘 키울수있을까 이것저것 한참을 고민하다 사이트를 몇십번을 보고 인터넷 문의를 먼저 했는데 너무 친절히 알려주셨고 직접 가서 상담 받았을때도 너무 친절하셨어요! 환경이 너무 깔끔하고 유기견 봉사활동 다니시는 모습을 보고 더 믿음직 했던것 같아요! 아가가 처음엔 겁도 많고 무서워보였는데 집 온지 30분만에 완벽적응하고 잘 놀고 잘싸고 잘 자네요 ㅎㅎ 건강해보여서 너무 좋습니다! 애기 분양 받은 후에도 계속 신경써주셔서 좋았습니다!, 별표 5개 ,m
53,841,edb6ba0c658793f46005601cc19eb96e2427fc5b8d6a47e5f98fcc060f93c73a,미니펫,"['미추홀구', '숭의동', '207-19']",서울특별시 강남구 역삼동 논현로106길 8,1,오후 밤 늦게 가기전에 카톡으로 질문을 먼저 드렸었는데 굉장히 친절하게 대답해주시고 방문했을때도 어떻게 해야하는지랑 뭐가 좋은지 구체적으로 잘 설명해주셔서 너무 감사했습니다!! 가족들도 굉장히 좋아해주고요!!, 별표 5개 ,o
55,841,edb6ba0c658793f46005601cc19eb96e2427fc5b8d6a47e5f98fcc060f93c73a,미니펫,"['미추홀구', '숭의동', '207-19']",경기도 부천시 원미구 중동 1031-1,6,"첫눈에 보자마자 반해버린 아이
바로 예약하구 다음날 데리구 왔는데 처음에는 소심하더니 적응하니까 장난감 가지고 신나게 놀더니 지쳐서 잠들었네요 ㅎㅎ
너무 귀여워요,,,정말루,, 내 삶의 활력소가 될것같아요
부천점에서 입양받았는데 직원 언니분이 설명두 잘해주시고 너무 친절하셨어요. 감사해요~~잘키우겠습니다~", 별표 5개 ,t
57,841,edb6ba0c658793f46005601cc19eb96e2427fc5b8d6a47e5f98fcc060f93c73a,미니펫,"['미추홀구', '숭의동', '207-19']",경기도 부천시 원미구 중동 1031-1,7,"그냥 구경만 하자고 생각하고 갔었어요
딸아이가 푸들 아가에 반해서 한번만 안아보더니 졸라서 결국 입양 결정했어요
아가가 너무 이쁘고 집에 온 첫날부터 배변판에 대소변 다 가리네요
정말 똑똑합니다^^
직원분들도 친절하고 아직 일주일 안됐지만 첫분양이라 궁금한거 전화해서 물어보면 잘 알려주시고 만족합니다~", 별표 5개 ,c
59,856,2733fac270ab0dbd96c6c740ce3c7a1e1414e9c7a96463916e98f8391229c6ab,펫홈,"['미추홀구', '주안동', '1471-11']",1471-17 남구 인천광역시 KR,0,"유기견 구조에 도움주고 있는 착한 병원
펫샾도 같이 하고 있어서 병원 들린 김에 용품도 구매할 수 있다", 별표 4개 ,n
